date,series_id,series_name,agency,diff_count,sample_diff
2026-05-13,bls_cpi_CUURS49ASA0,Metro CPI — CUURS49ASA0,BLS,51,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 352.221 → 355.166
2026-05-13,bls_cpi_CUURS12ASA0,Metro CPI — CUURS12ASA0,BLS,51,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 356.169 → 359.774
2026-05-13,bls_cpi_CUURS23ASA0,Metro CPI — CUURS23ASA0,BLS,51,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 306.592 → 309.364
2026-05-14,cdc_overdose_provisional,Provisional drug overdose deaths,CDC,26991,"[0].data_value: 64 → 252; [0].indicator: Methadone (T40.3) → Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3); [0].percent_pending_investigation: 0.374170652677056 → 0.282930735"
2026-05-15,cdc_weekly_flu_pneumonia,Weekly flu/pneumonia/COVID deaths by state,CDC,18391,[0].data_as_of: 2026-05-07T00:00:00.000 → 2026-05-14T00:00:00.000; [1].data_as_of: 2026-05-07T00:00:00.000 → 2026-05-14T00:00:00.000; [2].data_as_of: 2026-05-07T00:00:00.000 → 2026-05-14T00:00:00.000
2026-05-20,bls_laus_LASST060000000000003,State unemployment — LASST060000000000003,BLS,11,"[3].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [4].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [6].footnotes[0].text: Data subject to revision on April 8, 2026. "
2026-05-20,bls_laus_LASST360000000000003,State unemployment — LASST360000000000003,BLS,11,"[3].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [4].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [6].footnotes[0].text: Data subject to revision on April 8, 2026. "
2026-05-20,bls_laus_LASST480000000000003,State unemployment — LASST480000000000003,BLS,11,"[3].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [4].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [6].footnotes[0].text: Data subject to revision on April 8, 2026. "
2026-05-20,bls_laus_LASST170000000000003,State unemployment — LASST170000000000003,BLS,11,"[3].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [4].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [6].footnotes[0].text: Data subject to revision on April 8, 2026. "
2026-05-20,bls_laus_LASST120000000000003,State unemployment — LASST120000000000003,BLS,11,"[3].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [4].footnotes[0].text: Data subject to revision on April 8, 2026. → Data were subject to revision on April 8, 2026.; [6].footnotes[0].text: Data subject to revision on April 8, 2026. "
2026-05-22,cdc_weekly_flu_pneumonia,Weekly flu/pneumonia/COVID deaths by state,CDC,18363,[0].data_as_of: 2026-05-14T00:00:00.000 → 2026-05-21T00:00:00.000; [1].data_as_of: 2026-05-14T00:00:00.000 → 2026-05-21T00:00:00.000; [2].data_as_of: 2026-05-14T00:00:00.000 → 2026-05-21T00:00:00.000
2026-05-23,bls_laus_LASST060000000000003,State unemployment — LASST060000000000003,BLS,43,[0].period: M03 → M04; [0].periodName: March → April; [1].period: M02 → M03
2026-05-23,bls_laus_LASST360000000000003,State unemployment — LASST360000000000003,BLS,45,[0].period: M03 → M04; [0].periodName: March → April; [1].period: M02 → M03
2026-05-23,bls_laus_LASST480000000000003,State unemployment — LASST480000000000003,BLS,42,[0].period: M03 → M04; [0].periodName: March → April; [1].period: M02 → M03
2026-05-23,bls_laus_LASST170000000000003,State unemployment — LASST170000000000003,BLS,48,[0].period: M03 → M04; [0].periodName: March → April; [1].period: M02 → M03
2026-05-23,bls_laus_LASST120000000000003,State unemployment — LASST120000000000003,BLS,50,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 4.7 → 4.8
2026-05-23,bls_ces_SMS06000000000000001,State payroll — SMS06000000000000001,BLS,47,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 18154.2 → 18159.7
2026-05-23,bls_ces_SMS36000000000000001,State payroll — SMS36000000000000001,BLS,47,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 9978.5 → 9968.4
2026-05-23,bls_ces_SMS48000000000000001,State payroll — SMS48000000000000001,BLS,47,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 14403.5 → 14394.3
2026-05-23,bls_ces_SMS17000000000000001,State payroll — SMS17000000000000001,BLS,47,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 6145.5 → 6158.8
2026-05-23,bls_ces_SMS12000000000000001,State payroll — SMS12000000000000001,BLS,47,[0].period: M03 → M04; [0].periodName: March → April; [0].value: 9993.2 → 10032.9
2026-05-24,hud_fmr_ca_detail,Fair Market Rents — California detail,HUD,88,data.counties[0].statecode: CA → ca; data.counties[1].statecode: CA → ca; data.counties[2].statecode: CA → ca
